Course Name,Grading,Department,Teaching Strategies,Syllabus Progress,Course Description
實用民商法律入門,"期中考 Midterm Exam	40
期末考 Term exam	40
出席 Participation	20",企管系Business Administration,"講授 Lecture	80
討論 Discussion	20","1	民事財產法 (一) 總則 (i)
2	民事財產法 (二) 總則 (ii)
3	民事財產法 (三) 總則 (iii)
4	民事財產法 (四) 總則 (iv)
5	民事財產法 (五) 總則 (v)
6	民事財產法 (六) 債法概要 (i)
7	民事財產法 (七) 債法概要 (ii)
8	民事財產法 (八) 債法概要 (iii)
9	民事財產法 (九) 債法概要 (iv)
10	民事財產法 (十) 債法概要 (v)
11	民事財產法 (十一) 物權法概要 (i)
12	民事財產法 (十二) 物權法概要 (ii)
13	民事財產法 (十三) 物權法概要 (iii)
14	商事法概要 (一) 公司法
15	商事法概要 (二) 票據與保險法
16	智慧財產權法概要 (一)
17	智慧財產權法概要 (二)
18	商業刑事犯罪","       本課程以民事財產實體法為主體，包含民事法總論及各種民事契約類型的簡介，並就與從事商業活動及企業經營特別相關之民、刑、商事法律，包括公司法、票據法、刑法(主要為與商業有關之侵占背信等刑事行為)、商標法、智慧財產權法、營業秘密法等法律擇要加以介紹。This is an introductive course of civil substantive laws, especially the general principles and contracts, but also spans a range of public and private law, including Criminal Act, Commercial Laws, Trademark and IP Law where necessary. The focus of the course will be on the stipulations that are of special importance to commercial activities and business operation."
統計學（二）,"作業 Assignments	10
期中考 Midterm Exam	20
期中考 Midterm Exam	30
期末考 Term exam	40",統計系Statistics,講授 Lecture	100,"1	Review Chapters 1-8
2	Review Chapters 1-8 & Tests of Hypotheses-1
3	Tests of Hypotheses- 2 and Review test
4	Inference two population means and proportions -1
5	Inference two population means and proportions -2
6	Reviews and Test 1
7	Inference one and two population variances
8	Categorical Data Analysis
9	Design of Experiments & Analysis of Variance.-1
10	Design of Experiments & Analysis of Variance.-2
11	Reviews
12	Reviews and test 2
13	Simple Linear Regression -1
14	Simple Linear Regression -2
15	Multiple Regression -1
16	Multiple Regression -2
17	Reviews
18	Final Exam",       統計學之意義與應用、統計資料之搜集及圖表、敘述統計、基本機率概念、期望值、機率分配、抽樣分配、平均數之推論、變異數之推論、比率之推論、變異數分析、相關與迴歸、時間數列分析。This course is designed to introduce the basic tools in statistics for the students of business and management. Statistical concepts and applications in business and management and other areas are illustrated as examples. Emphasis of this course is on the understanding and applications of basic statistics.
計算機概論,"其他 others:教師課堂公佈	100
其他 others:教師課堂公佈	100",統計系Statistics,"講授 Lecture	40
其他:期中期末考試 others	20
其他:作業 others	20
其他:上機程式 others	20","1	簡介計算機與資訊網路
2	各種電腦裝置
3	資料儲存(1)
4	資料儲存(2)
5	資料處理(1)
6	資料處理(2)
7	作業系統
8	期中考
9	檔案系統(2)
10	網路通訊與網際網路
11	程式語言簡介
12	Python: Expressions
13	Python: Conditionals
14	Python: Functions
15	Python: Iterations
16	Python: Packages
17	期末考
18	期末專題報告",       認識資料處理結構、功能、電腦分類及比較、電腦發展史、數學系統、資料表示法、各種媒體介紹、各種輸出力機器介紹、記憶裝置及資料結構、各種語言介紹、程式流程圖及BASIC程式學習。Teaching and training university students with basic programming skills
微積分（二）,"期中考 Midterm Exam	30
期末考 Term exam	30
平時測驗 Quizzes	30
作業 Assignments	10",統計系Statistics,講授 Lecture	100,"1	Parametric Equations and Polar Coordinates
2	Sequences; Indeterminate Forms; Improper Integrals
3	Sequences; Indeterminate Forms; Improper Integrals
4	Infinite Series
5	Infinite Series
6	Infinite Series
7	Vector in Three-dimensional Space; Vector Calculus
8	Spring Break
9	Midterm Exam
10	Functions of Three Variables
11	Functions of Three Variables
12	Gradients; Extreme Values; Differentials
13	Gradients; Extreme Values; Differentials
14	Double and Triple Integrals
15	Double and Triple Integrals
16	Lineal Integrals and Surface Integrals
17	Lineal Integrals and Surface Integrals
18	Final Exam",       極限的概念、導數之定義及應用、定積分之性質及微積分基本定理、積分之應用及積分技巧、超越函數之定義及應用、無窮級數、冪級數、泰勒級數之概念、極坐標、向量之介紹、多變數函數之微分、積分及應用。Study the theory of calculus and their applications
經濟學（二）,"平時測驗 Quizzes	25
期中考 Midterm Exam	35
期末考 Term exam	40",統計系Statistics,"講授 Lecture	80
討論 Discussion	20","1	課程介紹
2	第23章: 一國國民所得的衡量
3	第24章: 生活成本的衡量
4	第26章: 儲蓄、投資與金融體系
5	第29章: 貨幣體系
6	第29章: 貨幣體系
7	民族掃墓節停課一次
8	第30章: 貨幣供給成長與物價膨脹
9	第31章: 開放經濟體的總體經濟分析的基本觀念
10	期中考試
11	第32章: 開放經濟體的總體經濟理論
12	第32章: 開放經濟體的總體經濟理論
13	第33章: 總合需求與總合供給
14	第33章: 總合需求與總合供給
15	第34章: 貨幣與財政政策對總合需求的影響
16	第34章: 貨幣與財政政策對總合需求的影響
17	第35章: 通膨與失業在短期的權衡取捨
18	期末考試","       供需均衡分析、價格彈性、消費理論、生產與成本分析、市場分析、生產要素組合與所得分配、所得的測定、凱因斯總體經濟論、古典總體經濟理論、重貨幣派總體經濟理論、理性預期理論、國際貿易與國際金融、經濟成長與經濟制度。Supply and demand equilibrium analysis, price elasticity, consumption theory, production and cost analysis, market analysis, production factor combination and income distribution, measurement of income, Keynesian overall economic theory, classical overall economic theory, heavy currency theory, overall economic theory, rational expectations Theory, international trade and international finance, economic growth and economic institutions."
服務學習（二）,"出席 Participation	100
出席 Participation	100",統計系Statistics,實作 Workshop	100,"1	系館環境清潔服務
2	系館環境清潔服務
3	系館環境清潔服務
4	系館環境清潔服務
5	系館環境清潔服務
6	系館環境清潔服務
7	系館環境清潔服務
8	系館環境清潔服務
9	系館環境清潔服務
10	系館環境清潔服務
11	系館環境清潔服務
12	系館環境清潔服務
13	系館環境清潔服務
14	系館環境清潔服務
15	系館環境清潔服務
16	系館環境清潔服務
17	系館環境清潔服務
18	系館環境清潔服務",       配合本校服務學習教育課程辦法並有效推行服務學習教育課程，服務範圍為校園認養區域，含系所週邊及管院地下一樓、調查統計中心內外環境之美化與清潔。
數理統計（一）,"期中考 Midterm Exam	35
期末考 Term exam	35
作業 Assignments	20
其他 others:Review Exams	10",統計系Statistics,講授 Lecture	100,"1	Expected values
2	Expected values
3	Expected values
4	Univariate Distributions
5	Univariate Distributions
6	Univariate Distributions
7	Univariate Distributions
8	Multivariate Distributions
9	Multivariate Distributions
10	Midterm Exam
11	Asymptotics
12	Asymptotics
13	Asymptotics
14	Asymptotics
15	Asymptotics
16	Extimation
17	Estimation
18	Final Exam","       1.基礎統計。2.統計模式。3.估計方法。4.估計比較。5.信賴區間和檢定。This is the first part of the one-year course of Mathematical Statistics. The topics include probability, introduction of random variables and distributions, estimations and hypothesis testing."
迴歸分析,"作業 Assignments	25
期中考 Midterm Exam	35
期末考 Term exam	40",統計系Statistics,"講授 Lecture	80
其他:作業與考試 Homework assignment and quizzes others	15
討論 Discussion	5","1	Review of linear regression with one predictor variable
2	Inferences in simple linear regression
3	Inferences in simple linear regression
4	Inferences in simple linear regression and correlation analysis
5	Model adequacy check
6	Model adequacy check and some remedial measures
7	Simultaneous inferences
8	Simultaneous inferences and some topics in regression analysis
9	Matrix approach to simple linear regression analysis
10	Midterm Exam
11	Polynomial regression
12	Multiple regression
13	Multiple regression
14	Regression models for quantitative and qualitative predictors
15	Building regression model: model selection and validation
16	Building regression model: diagnostics and remedial measures
17	Introduction to logistic regression model
18	Final Exam",       機率與統計的基本原理，一個獨立變數的線型迴歸、迴歸分析之推定模式的傾向性與矯正方法、迴歸分析研討─Ⅰ簡單迴歸分析之矩陣方法、多重迴歸、多項式迴歸、指數變數、迴歸分析研討─Ⅱ，最佳獨立變數的搜尋、常態相關模式。To study the general theory of linear regression models and their applications
會計學（二）,"期中考 Midterm Exam	35
期末考 Term exam	35
其他 others:課堂參與及交流表現	30",統計系Statistics,"講授 Lecture	80
個案研討 Case study	20","1	ch9. Plant Assets, Natural Resources, and Intangible Assets
2	ch9. Plant Assets, Natural Resources, and Intangible Assets
3	Time value OF money & Ch10. Current Liabilities
4	Ch11. Non-Current Liabilities
5	Ch11. Non-Current Liabilities
6	Ch12. Corporations: Organization, Share Transactions, and Equity
7	Ch12. Corporations: Organization, Share Transactions, and Equity
8	Ch13. Investments
9	Mid-term exam  (CH9~CH12)
10	Ch13. Investments
11	Ch13. Investments
12	Ch14. Statement of cash flows
13	Ch14. Statement of cash flows
14	Ch14. Statement of cash flows
15	Ch15.Financial Statement Analysis
16	Ch15.Financial Statement Analysis
17	Ch15.Financial Statement Analysis
18	Final exam(CH113~CH15)","       課程內容包括：會計處理過程（簿記程序）、資產與負債的評價基準以及會計處理方法、資本會計的內容與處理以及公司法有關之規定、合併報表之編製、財務狀況變動表的編製，並且分析資金的來源與用途，並介紹財務報表之分析方法等。The course content includes: accounting treatment process (bookkeeping procedures), assessment criteria of assets and liabilities and accounting treatment methods, content and treatment of capital accounting and relevant provisions of the company law, preparation of consolidated statements, preparation of statements of changes in financial position, and analysis The source and use of funds, and the analysis of financial statements."
抽樣調查,"期中考 Midterm Exam	35
期末考 Term exam	35
小組報告 Group Projects	10
作業 Assignments	20",統計系Statistics,"其他:Lecture with handouts others	80
其他:Case study others	20","1	Introduction
2	Concepts of Sampling
3	Probability Sampling Theory
4	Simple Random Sampling
5	Simple Random Sampling
6	Sample Size and Precision
7	Utilization of Auxiliary Information in Inference
8	Utilization of Auxiliary Information in Inference
9	Stratified Sampling
10	Midterm Exam
11	Stratified Sampling
12	Cluster Sampling
13	Cluster Sampling
14	Multi-stage Sampling
15	Multi-stage Sampling
16	Double Sampling
17	Case Study
18	Final Exam","       簡介問卷調查，CATI系統之介紹，簡單隨機抽樣、分析抽樣、系統抽樣、集體抽樣、比例估計、迴歸估計、分段抽樣、兩面抽樣等。The topics of this course include the introduction of the concepts, in both theoretical and practical perspectives, of sampling survey and various common conventional designs."
統計軟體與繪圖,"出席 Participation	20
作業 Assignments	40
期末考 Term exam	40",統計系Statistics,"其他:Traditional teaching others	40
其他:Lecture notes others	20
其他:In-class exercise and discussion others	40","1	Introduction to R, basic data processing
2	Introduction to R, exploratory data analysis
3	Introduction to R, basic statistical methods
4	Introduction to SPSS (Statistical Package for the Social Sciences)
5	Introduction to SPSS (Statistical Package for the Social Sciences)
6	Introduction to SAS (Statistical Analysis System, Enterprise Guide)
7	Introduction to SAS (Statistical Analysis System, Enterprise Guide)
8	Introduction to SAS (Statistical Analysis System, packages)
9	Introduction to SAS (Statistical Analysis System, packages)
10	Introduction to Git and Github
11	Writing reproducible reports in R with markdown
12	Introduction to statistical graphics using R
13	Introduction to statistical graphics using R
14	Introduction to data visualization with R shiny package
15	Introduction to data visualization with R shiny package
16	Introduction to packages in Python
17	Introduction to packages in Python
18	Final Exam","       介紹在統計方面電腦套裝軟體之應用，培養應用程式設計之能力。以PC上統計之繪圖軟體，如statgrat SAS/GRAPH，製作統計圖表，分析後之結果圖形及其他創意性之圖形。The purpose of this course is to teach students software package R and SPSS, so that they will be able to implement the statistical methods learned from the course of Statistics in the two software packages.  Graphing is a basic and important tool in data analysis, the skill of statistical drawing and the interpretation of graphs will be emphasized in this course.

The topics will include descriptive statistics, confidence intervals, hypothesis testing, contingency tables and chi-square test, correlation analysis and regression analysis."
保險數學,"其他 others:教師課堂公佈	100
其他 others:教師課堂公佈	100",統計系Statistics,"講授 Lecture	80
其他:交出作業批改或同學上台解說 others	10
其他:請同學報告與課堂內容相關之實際業務 others	10","1	Course introduction，Interest rate
2	holiday
3	effective, nominal rate, discount rate
4	force of interest and discount, homework discussion
5	basic annuities, real examples
6	basic annuities
7	basic annuities
8	general annuities
9	general annuities, homework discussion
10	midterm
11	general annuities
12	student reports
13	student reports
14	student reports, homework discussion
15	amortization method
16	amortization method
17	yield rate, homework discussion
18	final exam","       利率及年金介紹與應用，分期付款之方式及計算，獲利率介紹，保險數學之基本概念、生命函數介紹、生命機率與生命表編製應用、保險費率之訂定與保險費計算、各種年金之計算與應用、責任準備金制度。Introduce all kinds of rates and annuity, and their applications."
生物統計,"其他 others:Coursera Online Quiz/線上測驗	40
其他 others:Coursera Homework/線上課程作業完成程度	20
其他 others:Learning Portfolio Record/學習歷程記錄	40",統計系Statistics,"其他:Coursera Online Video 線上教學影片 others	80
其他:Coursera Homework and Online Quiz 作業及線上測驗 others	20","1	Introduction to clinical research, observational and experimental studies
2	Introduction to case-control、cross-sectional、cohort studies
3	Introduction to experimental studies, meta-analysis
4	Data types : nominal categorical data、ordinal、numerical
5	How to tell the difference : discrete and continuous variables
6	Introduction to hypothesis testing
7	Introduction to Type I and II errors
8	Introduction to parametric tests : t test, ANOVA
9	Introduction linear regression
10	Introduction to nonparametric tests : sign test, rank sums test, Mann-Whitney-U test
11	Comparing categorical data : contingency tables Chi-square test Fisher's exact test
12	Introduction to sensitivity and specificity
13	Introduction to risk and odds ratios
14	Introduction to Probability, Expectations, and Random Vectors
15	Conditional Probability and Bayes' Rule
16	Distributions, Likelihood Functions and Asymptotic Properties
17	Confidence Intervals, Bootstrapping, and Plotting
18	Binomial Proportions and Logs","       本課程為Coursera線上課程。生物統計學旨在作為將統計思維應用於生物學問題的一門課程。一些基本的機率、隨機變數及其性質與基本統計概念將被回顧。接著，在統計學尤其是生物統計學中很重要的二項式比例、假設檢定和離散資料等將被介紹。
This is a Coursera online course. Biostatistics is intended as a course in the application of statistical thinking to biological problems. Some of the fundamental probability, random variables and their properties along with basic statistical concepts are reviewed. Then binomial proportions, hypothesis testing, discrete data, and so on, which are important in statistics in particular for biostatistics, are introduced. Finally, students will learn how these statistical ideas and techniques can be applied to bioinformatics, including genomic data, non-continuous outcomes, DNA sequence alignment, BLAST algorithm and Markov models."
民意調查,"出席 Participation	90
個人書面報告 Projects	10",統計系Statistics,"其他:Coursera Online Video 線上教學影片 others	80
其他:Coursera Homework and Online Quiz 作業及線上測驗 others	20","1	Research Designs and Data Sources
2	Measurements and Analysis Plan
3	Quality Framework
4	Application of TSE Framework to Existing Surveys
5	Overview of Standardized Interviewing
6	Response Process
7	Asking Factual Questions
8	Asking Factual Questions
9	Measuring Attitudes
10	Measuring Attitudes
11	Introduction, Classic Modes of Survey Data Collection
12	Introduction, Classic Modes of Survey Data Collection
13	Self-administration, Online Data Collection
14	Self-administration, Online Data Collection
15	Self-administration, Online Data Collection
16	Interviewers and Interviewing
17	Interviewers and Interviewing
18	Emerging modes, new data sources","       本課程將向學生介紹調查研究的基本方面。 主題包括抽樣、研究設計、數據分析、結果解釋。 該課程將涵蓋定量研究和定性研究。This course will provide the student with an introduction to the basic aspects of survey research. Topics include sampling, research design, data analysis, interpretation of results. The course will cover quantitative research and qualitative research."
多變量分析,"作業 Assignments	30
期中考 Midterm Exam	40
其他 others:期末報告	30",統計系Statistics,講授 Lecture	100,"1	Introduction
2	Moving to Higher Dimensions
3	Multivariate Distributions
4	Multivariate Distributions
5	Theory of the Multinormal
6	Hypothesis Testing
7	Regression Models
8	Variable Selection
9	Midterm Exam
10	Principal Components Analysis
11	Principal Components Analysis
12	Factor Analysis
13	Correspondence Analysis
14	Cluster Analysis
15	Discriminant Analysis
16	Correspondence Analysis
17	Canonical Correlation Analysis
18	Final Exam","       包括多變量的迴歸分析、變異數分析、主成份分析、因素分析、多元尺度法、自動互動檢視法、群集分析、區別分析、典型相關分析等的應用及資料分析。Multivariate analysis basically deals with the covariance structure of p-dimensional data, hoping that the complex correlations among p variables can be effectively reduced to a relatively low dimensional space, so that the underlying data structure can be easily understood, or visualized."
類別資料分析,"出席 Participation	5
期中考 Midterm Exam	25
期中考 Midterm Exam	25
小組報告 Group Projects	20
作業 Assignments	25",統計系Statistics,"講授 Lecture	90
報告 Presentation	10","1	Introduction
2	Sampling Models
3	Two-way Contingency Tables
4	The Odds Ratio
5	Three-way Contingency Tables
6	Cochran-Mantel-Haenszel Methods
7	Midterm Exam 1
8	Generalized Linear Model for Binary Data
9	Generalized Linear Model for Count Data
10	Logistic Regression Models
11	Multiple Logistic Regression
12	Midterm Exam 2
13	Loglinear Models for Contingency Tables
14	Inference for Loglinear Models
15	Building and Applying Logit and Loglinear Models
16	Tests of Conditional Independence
17	Multicategory Logit Models
18	Final Report","       二維列聯表分析、三維列聯表分析、模式的選擇、四維及更高維列表分析、羅吉斯模式、對數線性模式、有異變數的對數線性模式。Introduction and application of the theory, statistical methods and R package for the categorical data."
機器學習,"作業 Assignments	60
個人口頭報告 Presentations	10
個人書面報告 Projects	30",統計系Statistics,"講授 Lecture	80
討論 Discussion	10
報告 Presentation	10","1	Introduction & Statistical Learning
2	Linear Regression
3	Linear Regression
4	Classification
5	Classification
6	Resampling Methods
7	Resampling Methods
8	Linear Model Selection and Regularization
9	Linear Model Selection and Regularization
10	Moving Beyond Linearity
11	Moving Beyond Linearity
12	Tree-Based Methods
13	Tree-Based Methods
14	Tree-Based Methods
15	Deep Learning
16	Deep Learning
17	Unsupervised Learning
18	Unsupervised Learning","       機器學習是一門新近的熱門研究領域，主要探討如何在高維度、大量或複雜資料中，使用統計方法來發展不同的演算法來發掘資料中所隱藏的有用資訊。Machine Learning is a popular research area lately. The main goal is to investigate the high dimensional, large amount or complex data, and use statistical methods to develop the useful algorithm to discover information within data."
財務統計,"作業 Assignments	30
期中考 Midterm Exam	35
個人口頭報告 Presentations	35",統計系Statistics,講授 Lecture	100,"1	Introdiction/Probability
2	Fixed Income Securities
3	Yield to Maturity
4	Exploratory Data
5	Returns
6	Modeling Univariate Data
7	Time Sereis Model
8	Vacation
9	Modeling Time Series Process
10	Modeling Time Series Process
11	GARCH model
12	Copula
13	Copula
14	Cointegration
15	Portfolio Selection
16	Portfolio Selection
17	Portfolio Selection
18	Final Report",       財務統計常用之統計方法及分布函數、資本資產定價模型、報酬率與風險之分析、Black-scholes模型、sharpe-Lintner形式、ARMA模型、金融市場有效性分析、風險值、風險管理、各種資本資產定價模型之統計估計、台灣股票市場分析及大型退休基金研究等。This course aims to teach undergraduate students the knowledge of the statistical applications in financial derivatives markets.
統計調查實務,"其他 others:實習時數及電訪/面訪實務表現	100
其他 others:實習時數及電訪/面訪實務表現	100",統計系Statistics,實作 Workshop	100,"1	至本系調查統計研究室進行實務實習
2	至本系調查統計研究室進行實務實習
3	至本系調查統計研究室進行實務實習
4	至本系調查統計研究室進行實務實習
5	至本系調查統計研究室進行實務實習
6	至本系調查統計研究室進行實務實習
7	至本系調查統計研究室進行實務實習
8	至本系調查統計研究室進行實務實習
9	至本系調查統計研究室進行實務實習
10	至本系調查統計研究室進行實務實習
11	至本系調查統計研究室進行實務實習
12	至本系調查統計研究室進行實務實習
13	至本系調查統計研究室進行實務實習
14	至本系調查統計研究室進行實務實習
15	至本系調查統計研究室進行實務實習
16	至本系調查統計研究室進行實務實習
17	至本系調查統計研究室進行實務實習
18	至本系調查統計研究室進行實務實習",       到本系調查統計研究中心進行實務實習Practice internship at the Center of Survey and Statistics
商事法,,企管系Business Administration,,,"       本課程挺以專題方式討論公司法、海商法,栗據法及保險法等四
門課程,並著重於公司法。探討之?容涵蓋「法制」與「法務」
兩大骨面,依斥建立學生對於商事法領城的知?根基。
(一)法制層面(比重估課程40%):包含商事法之核心價值及規範目
的,必要處並以我國與他國之立法制(如美德日等國)?行比較法
之研 習 。
(二)法務層面(比重估課程60%):包含商事法之實務上之課?,並
進而探討現行法制廉如何因應此等議??Law, strategies related."
公司理財,"小組報告 Group Projects	30
期中考 Midterm Exam	30
期末考 Term exam	40",會計系Accountancy,"講授 Lecture	94
報告 Presentation	6","1	Introduction
2	Ch 02 Financial Statements and Cash Flow
3	Ch 03 Financial Statements Analysis and Financial Models
4	Ch 04 Discounted Cash Flow Valuation
5	Ch 05 Net Present Value and Other Investment Rules
6	Midterm I
7	Spring Break (no class)
8	Ch 06 Making Capital Investment Decisions
9	Ch 08 Interest Rates and Bond Valuation
10	Ch 09 Stock Valuation
11	CH13 Risk, Cost of Capital, and Valuation
12	Midterm II
13	Ch 16 Capital Structure: Basic Concepts
14	Ch 17 Capital Structure: Limits to the Use of Debt
15	Group Presentation
16	Ch 19 Dividends and Other Payouts
17	CH 29 Mergers, Acquisitions, and Divestitures
18	Final Exam",       公司治理實務與架構、國際會計準則與財務報表、營利事業所得稅申報實務與案例研討公司治理實務與架構、國際會計準則與財務報表、營利事業所得稅申報實務與案例研討
巨量資料分析,"其他 others:Classroom participation and HW	30
其他 others:Group Project	30
期末考 Term exam	40",統計系Statistics,"講授 Lecture	50
其他:Programming Practice others	20
其他:Group Presentation and Discussion others	30","1	Big Data and Data Mining
2	Data Preprocessing
3	Data Visualization and R programing I
4	Association Rules
5	Decision Trees
6	Project Proposal and R Programing II
7	Neural Net Works
8	Clustering Methods and R Programing III
9	Project First Report
10	Time Series Analysis
11	Naïve Bayesian Classifier
12	Business Intelligence
13	Project Second Report
14	Manufacturing Intelligence
15	Rough Set Theory
16	Project Final Report
17	Project Final Report
18	Final Exam",       本課程將以實例配合統計軟體R使用，以說明各種統計方法在巨量資料分析上的應用Introduction and application of the statistical methods and package R by some “Big Data” examples
統計實務,"期中考 Midterm Exam	50
期末考 Term exam	50",統計系Statistics,"講授 Lecture	90
其他:Practice others	10","1	緒論、統計制度
2	調查發展與管制、普查
3	普查
4	普查
5	普查實施調查技術
6	國富與文化調查、專業抽樣調查
7	專業抽樣調查
8	物價與物量指數
9	物價與物量指數
10	物價與物量指數
11	人口與社會指標
12	人口與社會指標
13	人力供需統計
14	人力供需統計、對外貿易統計
15	國民所得統計
16	公務統計、統計資訊應用
17	統計法規
18	統計法規、統計標準分類",       統計概論、統計法與統計制度、各種國勢普查、各種抽樣調查、人口與社會指標、物價調查與統計、勞工統計、對外貿易統計、國民所得統計、公務統計、總資源供需估測、統計標準分類、統計發展計劃。
生物醫學統計學,"期中考 Midterm Exam	25
期末考 Term exam	25
作業 Assignments	35
個人書面報告 Projects	15",統計系Statistics,"講授 Lecture	80
個案研討 Case study	20",,"       本門課為生物醫學領域，進階統計方法的介紹與應用。主題包含從臨床試驗設計、流行病學到存活分析、長期追蹤資料等，並搭配實際的生物醫學數據整合分析，帶學生利用適合的統計方法、搭配撰寫R 程式語言，解決實際所面臨的問題。並嘗試搭配文獻研讀，學習最新的統計應用方法。The course is an introduction to advanced statistical methods in the field of biomedical research. Topics covered include clinical trial design, epidemiology, survival analysis, longitudinal data, and practical integration and analysis of biomedical. The course aims to equip students with the appropriate statistical methods and the ability to write R programming code to solve real-world problems in biomedical research. Additionally, students will have the opportunity to engage in literature review to learn the latest statistical applications."
數位平台設計,"其他 others:Attendance and Participation	30
小組報告 Group Projects	10
其他 others:Midterm project	30
其他 others:Final project	30",企管系Business Administration,"講授 Lecture	40
實作 Workshop	40
報告 Presentation	20","1	Introduction
2	Digital Platform and Design Science
3	Digital Platform Business Model
4	Digital Platform Business Model Examples (Presentation)
5	Design Recombination
6	CSS Basics
7	Layout Design 1
8	Layout Design 2
9	JavaScript
10	Midterm Project Paper
11	SEO and Content Strategy
12	Introduction to PHP
13	PHP Fundamentals
14	Form Handling & MySQL
15	MySQL CRUD Practices
16	Final Presentation 1
17	Final Presentation 2
18	Final Report","       本課程將幫助學生理解數位平台的運營，並且透過課程實務練習，讓學生構思平台的商業模式，並且透過網頁技術開發平台。課程中將透過設計、程式以及商業三個維度，帶領學生認識數位平台。在設計部分，學生將能夠了解介面設計的基本概念以及網頁搜尋者的行為。在程式設計技巧方面，學生將能夠透過HTML、JavaScript 與 CSS來建置平台的介面。在商業部分，學生將能夠設計建置新平台的相關策略。This course will help students understand the operation of digital platforms and, through practical exercises, enable them to conceptualize the business models of these platforms and develop them using web technologies. The course will guide students in understanding digital platforms through three dimensions: design, programming, and business. In the design aspect, students will learn basic concepts of interface design and user behavior on web platforms. In terms of programming skills, students will be able to build platform interfaces using HTML, JavaScript, and CSS. In the business dimension, students will design and develop relevant strategies for creating new platforms."
財務管理,"其他 others:請以老師上課說明之評量方式為主	100
其他 others:請以老師上課說明之評量方式為主	100",會計系Accountancy,講授 Lecture	100,,"       讓學生瞭解財務管理之方法This course is designed for both business majors and non-business majors. For business majors, the course is intended to prepare you for the more advanced courses to develop you as a financial specialist or professional. For non-business majors, the ""tools"" you acquire in this course will enhance your decision-making abilities."
微積分（一）,"平時測驗 Quizzes	30
期中考 Midterm Exam	40
期末考 Term exam	30",經濟系Economics,"講授 Lecture	75
討論 Discussion	25","1	Precalculus Review
2	Limits and Continuity
3	Differentiation
4	Differentiation;
5	Applications of Differentiations, 1st midterm
6	Application of Differentiations
7	Exponential and Logarithmic Functions
8	Exponential and Logarithmic Functions
9	2nd Midterm, Introduction to integration
10	Integration
11	Integration
12	Techniques of integration
13	Techniques of integration
14	Application of integration
15	Application of integration
16	Sequences and series
17	Sequences and sereis
18	Final Exam","       本課程以極限的觀念為基礎，建立微分與積分的運算並以之探討實函數之局部性質與整體行徑。Based on the concept of limit, we discuss both differential calculus and integral calculus. These will be used as tools to discuss the local and global behavior of real-valued functions."
經濟學（一）,"出席 Participation	10
平時測驗 Quizzes	20
作業 Assignments	10
期中考 Midterm Exam	25
期末考 Term exam	35",工資系Industrial and Information Management,"講授 Lecture	80
討論 Discussion	10
影音欣賞 Video/music appreciation	10","1	課程介紹 Economics: Introduction and Basic Concept (Ch.1)
2	經濟結構、制度及經濟議題 Economic Structure, System and Issues (Chs.1 & 3)
3	需求、供給與市場均衡 Demand, Supply and Market Equilibrium (Ch.3)
4	需求、供給的價格彈性 The Price Elasticity of Demand and Supply (Ch.4)
5	價格調整與市場變動 Price Adjustments and Market Fluctuations (Chs.3 $ 4)
6	效用與消費者選擇 Utility and Consumer Choice (Ch.5)
7	效用、偏好與替代效果 Utility, Preferences and Substitution Effect (Ch.5)
8	效率與市場干預 Efficiency and Market Interference (Ch.7)
9	期中考 Midterm Exam.
10	廠商理論: 決策與產出 Organizing Production: Schedules and Output (Ch.6)
11	廠商理論: 成本與利潤 Organizing Production: Cost and Profit (Ch.6)
12	市場結構、類別及運作 Market Structures, Types and Their Operation (Chs.6 & 8)
13	市場結構分析: 完全競爭 Perfect Competition (Ch.6)
14	市場結構分析: 獨占 Monopoly (Ch.8)
15	市場結構分析: 壟斷性競爭 Monopolistic Competition (Ch.8)
16	市場結構分析: 寡占與賽局理論 Oligopoly and Game Theory (Ch.9)
17	外部性暨公共財 Externalities, Property Rights and Public Goods (Chs.11 & 14)
18	期末考 Final Exam.","       Introduction to the allocation of scarce
resources and the economic reasoning
used by people as consumers, producers,
savers, investors, workers, voters, and as
government agencies. Introduction to the allocation of scarce
resources and the economic reasoning
used by people as consumers, producers,
savers, investors, workers, voters, and as
government agencies."
工業管理概論,"期中考 Midterm Exam	15
期末考 Term exam	35
小組報告 Group Projects	20
個人書面報告 Projects	30",工資系Industrial and Information Management,"講授 Lecture	70
討論 Discussion	30",,"       This course is designed to introduce the nature of industrial management, its dimensions and contemporary challenges to students. This course also explains the concepts of industrial management, discusses the processes, and summarizes the origins of contemporary management thought. This course is designed to introduce the nature of industrial management, its dimensions and contemporary challenges to students. This course also explains the concepts of industrial management, discusses the processes, and summarizes the origins of contemporary management thought."
